query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
Underwear,141,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
T shirt for women,140,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Cargos,139,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Denim,139,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Saree,139,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Sweatshirt,136,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Demon slayer,135,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
White t shirt,135,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.3 Product + Color
Shoes for men,133,0.06%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Combo,131,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
shirts,131,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
batman,130,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Pajama,130,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Chinos,129,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Crop top,129,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.4 Product + Style
Bagpack,129,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Tops for women,128,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Leather jacket,128,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.4 Product + Style
Men,127,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Denim shirt,127,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.4 Product + Style
Men tshirt,127,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Black tshirt,124,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.3 Product + Color
Glow in dark,124,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Cargo pants for men,122,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Football,122,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Joggers men,122,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Hoodie,122,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Shirt for women,121,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
T shirts for men,120,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
hoodie,119,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Attack on titan,119,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.1 Bare Character/Theme
Men shorts,119,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Women jeans,119,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
jeans,118,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Spider man,118,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Football jersey,117,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Polo tshirt,117,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Gym wear,116,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,C.1 Bare Occasion
Black jeans,115,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.3 Product + Color
Pyjama,114,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Shirt,114,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Shorts men,114,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Oversized tshirt for men,114,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.5 Product + Multiple Modifiers
Oversized,114,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Itachi,112,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Formal pants,112,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,C.2 Product + Occasion
Men jeans,112,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Black,111,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,Uncategorized
Black t shirt,110,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.3 Product + Color
Oversized t shirt,110,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.4 Product + Style
Women tshirt,109,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Anime t shirt,109,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,B.2 Product + Character
Men t shirt,109,0.05%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Laptop bag,108,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
Oversized shirt,108,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.4 Product + Style
Shorts for women,107,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.2 Product + Gender
Night suit,107,0.04%,,,,,,,,,,,,,,,,,,,,,,Niche Queries,A.1 Bare Product
